0,1,2,3
SKS Fulimpex Starogard Gdański -  Novimex Polonia 1912 Leszno Emocje TV - 2025-10-18 17:55,,18.10.2025 18:00,18.10.2025 18:00  101:94
Enea Abramczyk Astoria Bydgoszcz -  PGE Spójnia Stargard Emocje TV - 2025-10-18 19:55,,18.10.2025 20:00,18.10.2025 20:00  92:79
Weegree AZS Politechnika Opolska -  Kotwica Port Morski Kołobrzeg Emocje TV - 2025-10-19 14:55,,19.10.2025 15:00,19.10.2025 15:00  71:94
Enea Basket Poznań -  WKK Active Hotel Wrocław Emocje TV - 2025-10-19 14:55,,19.10.2025 15:00,19.10.2025 15:00  76:81
Decka Pelplin -  ŁKS Coolpack Łódź Emocje TV - 2025-10-19 17:55,,19.10.2025 18:00,19.10.2025 18:00  83:72
Miners Katowice -  KKS Polonia Warszawa Emocje TV - 2025-10-19 17:55,,19.10.2025 18:00,19.10.2025 18:00  91:94
KSK Qemetica Noteć Inowrocław -  Miners Katowice Emocje TV - 2025-10-24 18:55,,24.10.2025 19:00,24.10.2025 19:00  82:79
WKK Active Hotel Wrocław -  OPTeam Energia Polska Resovia Emocje TV - 2025-10-25 14:55,,25.10.2025 15:00,25.10.2025 15:00  76:69
Kotwica Port Morski Kołobrzeg -  Enea Abramczyk Astoria Bydgoszcz Emocje TV - 2025-10-25 17:55,,25.10.2025 18:00,25.10.2025 18:00  89:91
Solvera Sokół Łańcut -  Decka Pelplin Emocje TV - 2025-10-25 19:55,,25.10.2025 20:00,25.10.2025 20:00  77:70
Novimex Polonia 1912 Leszno -  GKS Tychy Emocje TV - 2025-10-26 14:55,,26.10.2025 15:00,26.10.2025 15:00  88:67
KKS Polonia Warszawa -  SKS Fulimpex Starogard Gdański Emocje TV - 2026-02-12 14:55,,26.10.2025 15:00,26.10.2025 15:00  86:77
PGE Spójnia Stargard -  Żubry Abakus Okna Białystok Emocje TV - 2025-10-26 17:55,,26.10.2025 18:00,26.10.2025 18:00  93:73
ŁKS Coolpack Łódź -  Weegree AZS Politechnika Opolska Emocje TV - 2025-10-26 17:55,,26.10.2025 18:00,26.10.2025 18:00  81:80
SKS Fulimpex Starogard Gdański -  KSK Qemetica Noteć Inowrocław Emocje TV - 2025-10-31 18:55,,31.10.2025 19:00,31.10.2025 19:00  89:72
GKS Tychy -  KKS Polonia Warszawa Emocje TV - 2025-10-31 18:55,,31.10.2025 19:00,31.10.2025 19:00  80:87
Decka Pelplin -  Weegree AZS Politechnika Opolska Emocje TV - 2025-11-02 14:55,,02.11.2025 15:00,02.11.2025 15:00  94:77
Żubry Abakus Okna Białystok -  Kotwica Port Morski Kołobrzeg Emocje TV - 2025-11-02 14:55,,02.11.2025 15:00,02.11.2025 15:00  74:76
Miners Katowice -  WKK Active Hotel Wrocław Emocje TV - 2025-11-02 17:55,,02.11.2025 18:00,02.11.2025 18:00  87:81
Solvera Sokół Łańcut -  Novimex Polonia 1912 Leszno Emocje TV - 2025-11-02 17:55,,02.11.2025 18:00,02.11.2025 18:00  87:64
Enea Abramczyk Astoria Bydgoszcz -  ŁKS Coolpack Łódź Emocje TV - 2025-11-02 19:55,,02.11.2025 20:00,02.11.2025 20:00  74:85
Enea Basket Poznań -  PGE Spójnia Stargard Emocje TV - 2025-11-02 19:55,,02.11.2025 20:00,02.11.2025 20:00  79:73
WKK Active Hotel Wrocław -  SKS Fulimpex Starogard Gdański Emocje TV - 2025-11-07 18:55,,07.11.2025 19:00,07.11.2025 19:00  71:82
Kotwica Port Morski Kołobrzeg -  Enea Basket Poznań Emocje TV - 2025-11-07 18:55,,07.11.2025 19:00,07.11.2025 19:00  82:64
KKS Polonia Warszawa -  Solvera Sokół Łańcut Emocje TV - 2025-11-08 17:55,,08.11.2025 18:00,08.11.2025 18:00  108:96
Weegree AZS Politechnika Opolska -  Enea Abramczyk Astoria Bydgoszcz Emocje TV - 2025-11-08 17:55,,08.11.2025 18:00,08.11.2025 18:00  81:84
KSK Qemetica Noteć Inowrocław -  GKS Tychy Emocje TV - 2025-11-08 19:55,,08.11.2025 20:00,08.11.2025 20:00  75:83
Novimex Polonia 1912 Leszno -  Decka Pelplin Emocje TV - 2025-11-09 17:55,,09.11.2025 18:00,09.11.2025 18:00  95:86
ŁKS Coolpack Łódź -  Żubry Abakus Okna Białystok Emocje TV - 2025-11-09 17:55,,09.11.2025 18:00,09.11.2025 18:00  89:62
PGE Spójnia Stargard -  OPTeam Energia Polska Resovia Emocje TV - 2025-11-10 18:55,,10.11.2025 19:00,10.11.2025 19:00  83:88
GKS Tychy -  WKK Active Hotel Wrocław Emocje TV - 2025-11-15 14:55,,15.11.2025 15:00,15.11.2025 15:00  101:61
Enea Basket Poznań -  ŁKS Coolpack Łódź Emocje TV - 2025-11-15 17:55,,15.11.2025 18:00,15.11.2025 18:00  85:90
Novimex Polonia 1912 Leszno -  KKS Polonia Warszawa Emocje TV - 2025-11-15 17:55,,15.11.2025 18:00,15.11.2025 18:00  83:57
Decka Pelplin -  Enea Abramczyk Astoria Bydgoszcz Emocje TV - 2025-11-15 19:55,,15.11.2025 20:00,15.11.2025 20:00  68:85
Miners Katowice -  PGE Spójnia Stargard Emocje TV - 2025-11-16 14:55,,16.11.2025 15:00,16.11.2025 15:00  70:78
OPTeam Energia Polska Resovia -  Kotwica Port Morski Kołobrzeg Emocje TV - 2025-11-16 17:55,,16.11.2025 18:00,16.11.2025 18:00  85:75
Solvera Sokół Łańcut -  KSK Qemetica Noteć Inowrocław Emocje TV - 2025-11-16 17:55,,16.11.2025 18:00,16.11.2025 18:00  91:85
Żubry Abakus Okna Białystok -  Weegree AZS Politechnika Opolska Emocje TV - 2025-11-16 19:55,,16.11.2025 20:00,16.11.2025 20:00  81:92
WKK Active Hotel Wrocław -  Solvera Sokół Łańcut Emocje TV - 2025-11-21 18:55,,21.11.2025 19:00,21.11.2025 19:00  97:101
Weegree AZS Politechnika Opolska -  Enea Basket Poznań Emocje TV - 2025-11-21 18:55,,21.11.2025 19:00,21.11.2025 19:00  94:81
Decka Pelplin -  KKS Polonia Warszawa Emocje TV - 2025-11-22 14:55,,22.11.2025 15:00,22.11.2025 15:00  79:57
Enea Abramczyk Astoria Bydgoszcz -  Żubry Abakus Okna Białystok Emocje TV - 2025-11-22 17:55,,22.11.2025 18:00,22.11.2025 18:00  99:65
KSK Qemetica Noteć Inowrocław -  Novimex Polonia 1912 Leszno Emocje TV - 2025-11-22 19:55,,22.11.2025 20:00,22.11.2025 20:00  101:91
Kotwica Port Morski Kołobrzeg -  Miners Katowice Emocje TV - 2025-11-23 14:55,,23.11.2025 15:00,23.11.2025 15:00  81:93
ŁKS Coolpack Łódź -  OPTeam Energia Polska Resovia Emocje TV - 2025-11-23 17:55,,23.11.2025 18:00,23.11.2025 18:00  88:85
PGE Spójnia Stargard -  SKS Fulimpex Starogard Gdański Emocje TV - 2025-11-24 18:55,,24.11.2025 19:00,24.11.2025 19:00  92:83
Enea Basket Poznań -  Enea Abramczyk Astoria Bydgoszcz Emocje TV - 2026-02-12 14:55,,29.11.2025 15:00,29.11.2025 15:00  102:97
KKS Polonia Warszawa -  KSK Qemetica Noteć Inowrocław Emocje TV - 2025-11-29 17:55,,29.11.2025 18:00,29.11.2025 18:00  79:88
GKS Tychy -  PGE Spójnia Stargard Emocje TV - 2025-11-29 19:55,,29.11.2025 20:00,29.11.2025 20:00  65:79
Miners Katowice -  ŁKS Coolpack Łódź Emocje TV - 2025-11-30 14:55,,30.11.2025 15:00,30.11.2025 15:00  87:93
Decka Pelplin -  Żubry Abakus Okna Białystok Emocje TV - 2025-11-30 17:55,,30.11.2025 18:00,30.11.2025 18:00  101:89
Novimex Polonia 1912 Leszno -  WKK Active Hotel Wrocław Emocje TV - 2025-11-30 17:55,,30.11.2025 18:00,30.11.2025 18:00  64:74
