0,1,2,3
GKS Tychy -  Novimex Polonia 1912 Leszno Emocje TV - 2026-02-14 14:55,,14.02.2026 15:00,14.02.2026 15:00  --:--
SKS Fulimpex Starogard Gdański -  KKS Polonia Warszawa Emocje TV - 2026-02-14 14:55,,14.02.2026 15:00,14.02.2026 15:00  --:--
Miners Katowice -  KSK Qemetica Noteć Inowrocław Emocje TV - 2026-02-14 17:55,,14.02.2026 18:00,14.02.2026 18:00  --:--
Żubry Abakus Okna Białystok -  PGE Spójnia Stargard Emocje TV - 2026-02-14 17:55,,14.02.2026 18:00,14.02.2026 18:00  --:--
Weegree AZS Politechnika Opolska -  ŁKS Coolpack Łódź Emocje TV - 2026-02-14 19:55,,14.02.2026 20:00,14.02.2026 20:00  --:--
Enea Abramczyk Astoria Bydgoszcz -  Kotwica Port Morski Kołobrzeg Emocje TV - 2026-02-15 17:55,,15.02.2026 18:00,15.02.2026 18:00  --:--
OPTeam Energia Polska Resovia -  WKK Active Hotel Wrocław Emocje TV - 2026-03-11 18:55,,11.03.2026 19:00,11.03.2026 19:00  --:--
Kotwica Port Morski Kołobrzeg -  Żubry Abakus Okna Białystok Emocje TV - 2026-02-21 14:55,,21.02.2026 15:00,21.02.2026 15:00  --:--
PGE Spójnia Stargard -  Enea Basket Poznań Emocje TV - 2026-02-21 14:55,,21.02.2026 15:00,21.02.2026 15:00  --:--
ŁKS Coolpack Łódź -  Enea Abramczyk Astoria Bydgoszcz Emocje TV - 2026-02-21 17:55,,21.02.2026 18:00,21.02.2026 18:00  --:--
KKS Polonia Warszawa -  GKS Tychy Emocje TV - 2026-02-21 17:55,,21.02.2026 18:00,21.02.2026 18:00  --:--
Novimex Polonia 1912 Leszno -  Solvera Sokół Łańcut Emocje TV - 2026-02-21 19:55,,21.02.2026 20:00,21.02.2026 20:00  --:--
Weegree AZS Politechnika Opolska -  Decka Pelplin Emocje TV - 2026-02-22 14:55,,22.02.2026 15:00,22.02.2026 15:00  --:--
WKK Active Hotel Wrocław -  Miners Katowice Emocje TV - 2026-02-22 17:55,,22.02.2026 18:00,22.02.2026 18:00  --:--
KSK Qemetica Noteć Inowrocław -  SKS Fulimpex Starogard Gdański Emocje TV - 2026-02-22 17:55,,22.02.2026 18:00,22.02.2026 18:00  --:--
GKS Tychy -  KSK Qemetica Noteć Inowrocław Emocje TV - 2026-02-28 14:55,,28.02.2026 15:00,28.02.2026 15:00  --:--
Żubry Abakus Okna Białystok -  ŁKS Coolpack Łódź Emocje TV - 2026-02-28 14:55,,28.02.2026 15:00,28.02.2026 15:00  --:--
Solvera Sokół Łańcut -  KKS Polonia Warszawa Emocje TV - 2026-02-28 17:55,,28.02.2026 18:00,28.02.2026 18:00  --:--
OPTeam Energia Polska Resovia -  PGE Spójnia Stargard Emocje TV - 2026-02-28 17:55,,28.02.2026 18:00,28.02.2026 18:00  --:--
Enea Basket Poznań -  Kotwica Port Morski Kołobrzeg Emocje TV - 2026-02-28 19:55,,28.02.2026 20:00,28.02.2026 20:00  --:--
Decka Pelplin -  Novimex Polonia 1912 Leszno Emocje TV - 2026-03-01 14:55,,01.03.2026 15:00,01.03.2026 15:00  --:--
Enea Abramczyk Astoria Bydgoszcz -  Weegree AZS Politechnika Opolska Emocje TV - 2026-03-01 17:55,,01.03.2026 18:00,01.03.2026 18:00  --:--
SKS Fulimpex Starogard Gdański -  WKK Active Hotel Wrocław Emocje TV - 2026-03-04 18:55,,04.03.2026 19:00,04.03.2026 19:00  --:--
Kotwica Port Morski Kołobrzeg -  OPTeam Energia Polska Resovia Emocje TV - 2026-03-06 18:55,,06.03.2026 19:00,06.03.2026 19:00  --:--
Enea Abramczyk Astoria Bydgoszcz -  Decka Pelplin Emocje TV - 2026-03-07 14:55,,07.03.2026 15:00,07.03.2026 15:00  --:--
KKS Polonia Warszawa -  Novimex Polonia 1912 Leszno Emocje TV - 2026-03-07 14:55,,07.03.2026 15:00,07.03.2026 15:00  --:--
KSK Qemetica Noteć Inowrocław -  Solvera Sokół Łańcut Emocje TV - 2026-03-07 17:55,,07.03.2026 18:00,07.03.2026 18:00  --:--
Weegree AZS Politechnika Opolska -  Żubry Abakus Okna Białystok Emocje TV - 2026-03-07 19:55,,07.03.2026 20:00,07.03.2026 20:00  --:--
ŁKS Coolpack Łódź -  Enea Basket Poznań Emocje TV - 2026-03-08 14:55,,08.03.2026 15:00,08.03.2026 15:00  --:--
WKK Active Hotel Wrocław -  GKS Tychy Emocje TV - 2026-03-08 14:55,,08.03.2026 15:00,08.03.2026 15:00  --:--
PGE Spójnia Stargard -  Miners Katowice Emocje TV - 2026-03-08 17:55,,08.03.2026 18:00,08.03.2026 18:00  --:--
Solvera Sokół Łańcut -  WKK Active Hotel Wrocław Emocje TV - 2026-03-13 17:55,,13.03.2026 18:00,13.03.2026 18:00  --:--
Novimex Polonia 1912 Leszno -  KSK Qemetica Noteć Inowrocław Emocje TV - 2026-03-13 18:55,,13.03.2026 19:00,13.03.2026 19:00  --:--
KKS Polonia Warszawa -  Decka Pelplin,,14.03.2026,14.03.2026  --:--
Miners Katowice -  Kotwica Port Morski Kołobrzeg,,14.03.2026,14.03.2026  --:--
Enea Basket Poznań -  Weegree AZS Politechnika Opolska,,14.03.2026,14.03.2026  --:--
Żubry Abakus Okna Białystok -  Enea Abramczyk Astoria Bydgoszcz,,14.03.2026,14.03.2026  --:--
SKS Fulimpex Starogard Gdański -  PGE Spójnia Stargard Emocje TV - 2026-03-14 17:55,,14.03.2026 18:00,14.03.2026 18:00  --:--
OPTeam Energia Polska Resovia -  ŁKS Coolpack Łódź Emocje TV - 2026-03-15 17:55,,15.03.2026 18:00,15.03.2026 18:00  --:--
Żubry Abakus Okna Białystok -  Decka Pelplin,,21.03.2026,21.03.2026  --:--
ŁKS Coolpack Łódź -  Miners Katowice,,21.03.2026,21.03.2026  --:--
PGE Spójnia Stargard -  GKS Tychy,,21.03.2026,21.03.2026  --:--
WKK Active Hotel Wrocław -  Novimex Polonia 1912 Leszno,,21.03.2026,21.03.2026  --:--
KSK Qemetica Noteć Inowrocław -  KKS Polonia Warszawa,,21.03.2026,21.03.2026  --:--
Kotwica Port Morski Kołobrzeg -  SKS Fulimpex Starogard Gdański Emocje TV - 2026-03-21 17:55,,21.03.2026 18:00,21.03.2026 18:00  --:--
Enea Abramczyk Astoria Bydgoszcz -  Enea Basket Poznań Emocje TV - 2026-03-21 19:55,,21.03.2026 20:00,21.03.2026 20:00  --:--
Weegree AZS Politechnika Opolska -  OPTeam Energia Polska Resovia Emocje TV - 2026-03-22 17:55,,22.03.2026 18:00,22.03.2026 18:00  --:--
Decka Pelplin -  KSK Qemetica Noteć Inowrocław,,28.03.2026,28.03.2026  --:--
KKS Polonia Warszawa -  WKK Active Hotel Wrocław,,28.03.2026,28.03.2026  --:--
GKS Tychy -  Kotwica Port Morski Kołobrzeg,,28.03.2026,28.03.2026  --:--
SKS Fulimpex Starogard Gdański -  ŁKS Coolpack Łódź,,28.03.2026,28.03.2026  --:--
Miners Katowice -  Weegree AZS Politechnika Opolska,,28.03.2026,28.03.2026  --:--
OPTeam Energia Polska Resovia -  Enea Abramczyk Astoria Bydgoszcz,,28.03.2026,28.03.2026  --:--
Enea Basket Poznań -  Żubry Abakus Okna Białystok,,28.03.2026,28.03.2026  --:--
Solvera Sokół Łańcut -  PGE Spójnia Stargard Emocje TV - 2026-03-29 12:55,,29.03.2026 13:00,29.03.2026 13:00  --:--
Enea Basket Poznań -  Decka Pelplin,,08.04.2026,08.04.2026  --:--
Żubry Abakus Okna Białystok -  OPTeam Energia Polska Resovia,,08.04.2026,08.04.2026  --:--
Enea Abramczyk Astoria Bydgoszcz -  Miners Katowice,,08.04.2026,08.04.2026  --:--
Weegree AZS Politechnika Opolska -  SKS Fulimpex Starogard Gdański,,08.04.2026,08.04.2026  --:--
ŁKS Coolpack Łódź -  GKS Tychy,,08.04.2026,08.04.2026  --:--
Kotwica Port Morski Kołobrzeg -  Solvera Sokół Łańcut,,08.04.2026,08.04.2026  --:--
PGE Spójnia Stargard -  Novimex Polonia 1912 Leszno,,08.04.2026,08.04.2026  --:--
WKK Active Hotel Wrocław -  KSK Qemetica Noteć Inowrocław,,08.04.2026,08.04.2026  --:--
Decka Pelplin -  WKK Active Hotel Wrocław,,11.04.2026,11.04.2026  --:--
KKS Polonia Warszawa -  PGE Spójnia Stargard,,11.04.2026,11.04.2026  --:--
Novimex Polonia 1912 Leszno -  Kotwica Port Morski Kołobrzeg,,11.04.2026,11.04.2026  --:--
Solvera Sokół Łańcut -  ŁKS Coolpack Łódź,,11.04.2026,11.04.2026  --:--
GKS Tychy -  Weegree AZS Politechnika Opolska,,11.04.2026,11.04.2026  --:--
SKS Fulimpex Starogard Gdański -  Enea Abramczyk Astoria Bydgoszcz,,11.04.2026,11.04.2026  --:--
OPTeam Energia Polska Resovia -  Enea Basket Poznań,,11.04.2026,11.04.2026  --:--
Miners Katowice -  Żubry Abakus Okna Białystok Emocje TV - 2026-04-11 14:55,,11.04.2026 15:00,11.04.2026 15:00  --:--
Enea Abramczyk Astoria Bydgoszcz -  GKS Tychy Emocje TV - 2026-04-17 18:55,,17.04.2026 19:00,17.04.2026 19:00  --:--
OPTeam Energia Polska Resovia -  Decka Pelplin,,18.04.2026,18.04.2026  --:--
Enea Basket Poznań -  Miners Katowice,,18.04.2026,18.04.2026  --:--
Weegree AZS Politechnika Opolska -  Solvera Sokół Łańcut,,18.04.2026,18.04.2026  --:--
ŁKS Coolpack Łódź -  Novimex Polonia 1912 Leszno,,18.04.2026,18.04.2026  --:--
Kotwica Port Morski Kołobrzeg -  KKS Polonia Warszawa,,18.04.2026,18.04.2026  --:--
PGE Spójnia Stargard -  KSK Qemetica Noteć Inowrocław,,18.04.2026,18.04.2026  --:--
Żubry Abakus Okna Białystok -  SKS Fulimpex Starogard Gdański Emocje TV - 2026-04-19 17:55,,19.04.2026 18:00,19.04.2026 18:00  --:--
WKK Active Hotel Wrocław -  PGE Spójnia Stargard Emocje TV - 2026-04-25 17:55,,25.04.2026 18:00,25.04.2026 18:00  --:--
KSK Qemetica Noteć Inowrocław -  Kotwica Port Morski Kołobrzeg Emocje TV - 2026-04-25 17:55,,25.04.2026 18:00,25.04.2026 18:00  --:--
KKS Polonia Warszawa -  ŁKS Coolpack Łódź Emocje TV - 2026-04-25 17:55,,25.04.2026 18:00,25.04.2026 18:00  --:--
Novimex Polonia 1912 Leszno -  Weegree AZS Politechnika Opolska Emocje TV - 2026-04-25 17:55,,25.04.2026 18:00,25.04.2026 18:00  --:--
Solvera Sokół Łańcut -  Enea Abramczyk Astoria Bydgoszcz Emocje TV - 2026-04-25 17:55,,25.04.2026 18:00,25.04.2026 18:00  --:--
GKS Tychy -  Żubry Abakus Okna Białystok Emocje TV - 2026-04-25 17:55,,25.04.2026 18:00,25.04.2026 18:00  --:--
SKS Fulimpex Starogard Gdański -  Enea Basket Poznań Emocje TV - 2026-04-25 17:55,,25.04.2026 18:00,25.04.2026 18:00  --:--
Miners Katowice -  OPTeam Energia Polska Resovia Emocje TV - 2026-04-25 17:55,,25.04.2026 18:00,25.04.2026 18:00  --:--
